"Mrs. Theresa Herring","LANG-3981"
"David Thompson","COGS-7706"
"David Thompson","ITEC-5417"
"Joseph Novak","ITEC-8653"
"Amy Johnson","CHEM-2566"
"Amy Johnson","STSO-9202"
"Michael Long","BIOL-4011"
"Michael Long","ECSE-6530"
"Deanna Chen","ECON-4291"
"Bradley Patrick","CSCI-5884"
"Dr. Jose Hill","ITEC-8505"
"Dr. Jose Hill","ECON-1298"
"Miranda Wilson","MGMT-8778"
"Miranda Wilson","ITEC-5912"
"Miranda Wilson","CSCI-7575"
"Crystal Morris","ECON-1298"
"Crystal Morris","CSCI-8811"
"Jim Garrett","LANG-9275"
"Andre Haynes","PSYC-8244"
"Andre Haynes","PSYC-6453"
"Andre Haynes","PSYC-1612"
"Christopher Sweeney","CSCI-4126"
"Dr. Paul Taylor","MATH-5356"
"Dr. Paul Taylor","ECON-7841"
"Dr. Paul Taylor","PSYC-4159"
"Angela Thompson","ECON-2818"
"Angela Thompson","STSO-7793"
"Angela Thompson","ECON-1777"
"Scott Grant","CSCI-8811"
"Scott Grant","LANG-7417"
"Gabriel Perez","CHEM-8116"
"Sherry Martin","CSCI-5630"
"Shirley Stewart","CHEM-1386"
"Shelby Marshall","ECSE-1607"
"Shelby Marshall","CHEM-2562"
"Shelby Marshall","CSCI-9318"
"Victoria Nguyen","ECSE-9948"
"Edward Foley","PSYC-4159"
"Edward Foley","COGS-3037"
"Jeffrey Dixon","CSCI-9200"
"Jeffrey Dixon","PSYC-9955"
"Jeffrey Dixon","ECSE-1512"
"Kyle Young","MGMT-9704"
"Kyle Young","ECSE-1571"
"Kyle Young","MATH-9843"
"Stephanie Williams","MATH-2934"
"Tammie Morgan","CHEM-7955"
"Tammie Morgan","ECON-5413"
"Tammie Morgan","LANG-8367"
"Margaret Williams","ARCH-1513"
"Jamie Lawson","MATH-4023"
"Jamie Lawson","LANG-9205"
"Billy Bird","ITEC-6848"
"Billy Bird","MATH-5704"
"Lisa Jenkins","STSO-8068"
"Lisa Jenkins","BIOL-6426"
"Robert Wallace","MGMT-1644"
"Robert Wallace","ENGR-4942"
"Brooke Palmer","CHEM-8845"
"Don Martinez","LANG-4629"
"Don Martinez","LANG-9830"
"Thomas Mayo","COGS-1363"
"Thomas Mayo","PSYC-9955"
"Sandra Mathis","ITEC-8608"
"Megan Castillo","ECON-2282"
"Haley Sosa","STSO-6137"
"Haley Sosa","LANG-8192"
"Erik Day","MATH-4282"
"Erik Day","LANG-7473"
"Erik Day","CSCI-8306"
"Shannon Moore","MATH-9779"
"Shannon Moore","ITEC-8505"
"Ernest Prince","LANG-7040"
"Ernest Prince","MATH-5394"
"Ernest Prince","STSO-6137"
"David Munoz","ECON-3139"
"David Munoz","ITEC-6550"
"David Munoz","COGS-1363"
"Richard Palmer","ECSE-7314"
"Richard Palmer","CSCI-5884"
"Richard Palmer","STSO-2610"
"Matthew Lane","LANG-9830"
"Matthew Lane","MGMT-6085"
"Darren Diaz","LANG-4105"
"Darren Diaz","CSCI-2400"
"Robert Baldwin","MGMT-7673"
"Robert Baldwin","STSO-7761"
"Lance Rivera","LANG-3131"
"Jennifer Walsh","MATH-4277"
"Jennifer Walsh","MGMT-3727"
"Mark Donovan","ECSE-6690"
"Mark Donovan","STSO-8384"
"Mark Donovan","ECON-5604"
"Tracy Henry","ARCH-5291"
"Tracy Henry","ITEC-7960"
"Kenneth Glover MD","LANG-7040"
"Kenneth Glover MD","ITEC-6550"
"Kenneth Glover MD","STSO-3508"
"Adam Meyers","ARCH-8147"
"Adam Meyers","PSYC-2692"
"Adam Meyers","PSYC-8244"
"Andrea Stone","MGMT-8778"
"Andrea Stone","ITEC-4703"
"Julie Rodriguez","ECSE-2185"
"Julie Rodriguez","ECON-1298"
"Julie Rodriguez","COGS-7514"
"John Murphy","ARCH-6185"
"Michael Gardner","ITEC-6379"
"Michael Gardner","CSCI-6872"
"Michael Gardner","ECON-2203"
"Shelly Silva","CSCI-1629"
"Catherine Haynes","COGS-1059"
"Rebecca Morris","ECON-2282"
"Rebecca Morris","COGS-6330"
"Virginia Ashley","BIOL-9107"
"Virginia Ashley","STSO-5144"
"Virginia Ashley","ECSE-9548"
"Darlene Singleton","CSCI-1629"
"Darlene Singleton","STSO-3494"
"Darlene Singleton","CSCI-2542"
"Miranda Brown","CSCI-1038"
"Danielle Knight","CHEM-8845"
"Logan Brewer","STSO-7793"
"Meghan Tate","STSO-3203"
"Phillip Rodriguez","CHEM-2959"
"Phillip Rodriguez","MATH-4045"
"Phillip Rodriguez","CSCI-1777"
"Tyler Bass","LANG-3131"
"Alexis Richardson","ITEC-3314"
"Aaron Robinson","ITEC-8608"
"Aaron Robinson","MGMT-6033"
"Aaron Robinson","PSYC-6051"
"Lisa Huerta","CHEM-8845"
"Lisa Huerta","CHEM-5099"
"Mr. Billy Walters","BIOL-2248"
"Mr. Billy Walters","COGS-1543"
"Laura Wallace","MATH-6422"
"Laura Wallace","COGS-6575"
"Laura Wallace","LANG-3488"
"Collin Suarez","STSO-3508"
"Collin Suarez","COGS-5146"
"Gary Smith","LANG-8912"
"Jennifer Hanson","CSCI-4126"
"Clarence Jones","ITEC-6379"
"Clarence Jones","COGS-6893"
"Robert Nelson","COGS-3077"
"Robert Nelson","STSO-9202"
"Diana Willis","COGS-8857"
"Diana Willis","ITEC-4946"
"Vincent Dunn","ECSE-4324"
"Douglas Barber","BIOL-1503"
"Richard Allen DDS","COGS-3625"
"Richard Allen DDS","CHEM-2959"
"Jennifer Wallace","ITEC-6379"
"Traci Zavala","ITEC-8660"
"Traci Zavala","ENGR-3462"
"Sonya Day","STSO-7806"
"Sonya Day","ARCH-7453"
"Tina Griffin","LANG-8192"
"Monica Moss","ITEC-8792"
"Monica Moss","LANG-4629"
"Robin Jones","PSYC-4159"
"Francis Navarro","MGMT-6609"
"Brandon Anderson","ECSE-7363"
"Brandon Anderson","STSO-8269"
"Clayton Strickland","PSYC-8244"
"Melvin Stevens","CSCI-7708"
"Melvin Stevens","STSO-7806"
"Francisco Johnston","COGS-5146"
"Francisco Johnston","BIOL-6426"
"Scott Jackson","PSYC-2973"
"Kelly Price","ECSE-1512"
"Derek Wise","ITEC-6470"
"Derek Wise","PSYC-6051"
"Derek Wise","ECSE-9097"
"Eric Garrison","STSO-7793"
"Jose Gomez","MATH-2624"
"Holly Greene","MATH-4277"
"Holly Greene","STSO-5001"
"Holly Greene","ITEC-3084"
"Amy Flores","CHEM-8339"
"Amy Flores","ENGR-4384"
"Amy Flores","PSYC-8944"
"Madeline Roberts","PSYC-2277"
"Francisco Mccarthy","CSCI-8306"
"Francisco Mccarthy","ITEC-7960"
"Matthew Blackburn","ITEC-8792"
"Matthew Blackburn","PSYC-1318"
"Matthew Blackburn","LANG-5774"
"Ryan Hall","ARCH-6185"
"Ryan Hall","MGMT-3727"
"Ryan Hall","ENGR-8838"
"Kimberly Gordon","LANG-7473"
"Kimberly Gordon","MATH-7964"
"David Sandoval","STSO-8269"
"David Sandoval","ECON-9818"
"David Sandoval","PSYC-8944"
"Debra Benson","MATH-7964"
"Debra Benson","STSO-8203"
"Jennifer Rivers","BIOL-5043"
"Jennifer Rivers","ARCH-7369"
"Jennifer Rivers","MATH-9858"
"Tracy Jacobson","MGMT-3029"
"Scott Fleming","COGS-3427"
"Scott Fleming","COGS-9903"
"Scott Fleming","PSYC-7868"
"Terry Rodriguez","ENGR-6942"
"Laura Jones","ECON-7628"
"Laura Jones","ITEC-5417"
"Laura Jones","STSO-3133"
"James Zimmerman","PSYC-1405"
"Brian Sullivan","LANG-2714"
"Brian Sullivan","ECSE-8065"
"Brian Sullivan","PSYC-6966"
"Larry Butler","MGMT-9350"
"Robert Ward","MATH-5864"
"Robert Ward","COGS-5146"
"Mrs. Michelle Miller","ECSE-8140"
"Mrs. Michelle Miller","COGS-6212"
"Jonathon Hamilton","MATH-4277"
"Jonathon Hamilton","MGMT-6085"
"Jonathon Hamilton","ARCH-3204"
"Jamie Burke","ENGR-3462"
"Jamie Burke","CHEM-7580"
"Brittney Fuller","PSYC-9168"
"Brittney Fuller","ECON-5530"
"Brittney Fuller","COGS-3625"
"Deanna Martin","ECON-5604"
"Deanna Martin","ENGR-6537"
"Greg Carter","STSO-6966"
"Greg Carter","ITEC-6550"
"Joseph Bruce","ECSE-1491"
"Joseph Bruce","PSYC-4304"
"Joseph Bruce","ECON-7841"
"Robert Mora","ENGR-3191"
"Robert Mora","ENGR-4384"
"Rebecca Henry","MATH-5879"
"Rebecca Henry","ECSE-4324"
"Tonya Frye","STSO-9202"
"Tonya Frye","PSYC-9330"
"Victor Mcneil","STSO-7761"
"John Landry","ITEC-2018"
"John Landry","MATH-5394"
"John Landry","COGS-3625"
"Destiny Guerra","ECSE-7314"
"Kimberly Simmons","MGMT-8224"
"Kimberly Simmons","MGMT-3029"
"Kimberly Simmons","CSCI-3014"
"George Adkins","LANG-1270"
"George Adkins","PSYC-7868"
"Kimberly Baxter","LANG-5653"
"Kimberly Baxter","ECON-4404"
"Kimberly Baxter","ENGR-6537"
"Monique Roberts","CHEM-4904"
"Monique Roberts","PSYC-1360"
"Richard Hall","MATH-7041"
"Richard Hall","LANG-3109"
"Kara Nelson","PSYC-6453"
"Dale Chapman","BIOL-4667"
"Dale Chapman","LANG-8912"
"Dale Chapman","STSO-8269"
"Samuel Rowland","LANG-2358"
"Samuel Rowland","LANG-8367"
"Lindsey Adkins","PSYC-1318"
"Lindsey Adkins","STSO-1842"
"Lindsey Adkins","MGMT-5766"
"Joseph Ramos","MATH-8932"
"Maria Rhodes","STSO-5789"
"Maria Rhodes","STSO-5144"
"Paul Foster","STSO-3133"
"Paul Foster","COGS-7287"
"Paul Foster","LANG-2615"
"Ashley Miller","ECON-1214"
"Amy Cain","MATH-9858"
"Amy Cain","ARCH-8221"
"Stephanie Rodriguez","STSO-4319"
"Stephanie Rodriguez","ITEC-5685"
"Stephanie Rodriguez","LANG-1278"
"Amanda Douglas","ENGR-9278"
"Sharon Chambers","ECON-4404"
"Sharon Chambers","ECSE-4571"
"Brett Reese","STSO-4319"
"Charles Lam","COGS-9667"
"Chad Decker","ITEC-8792"
"Chad Decker","PSYC-7868"
"Mr. Justin Sutton","CSCI-3014"
"Mr. Justin Sutton","MGMT-7977"
"Casey Klein","COGS-2047"
"Jacob Coleman","MGMT-8778"
"Jacob Coleman","CSCI-1601"
"Jacob Coleman","ECON-6876"
"Jay Robinson","BIOL-3377"
"Jay Robinson","ENGR-3462"
"Jay Robinson","ECSE-9097"
"Molly Lynch","STSO-2610"
"Gerald May","ECSE-1607"
"Maxwell Velez","PSYC-2692"
"Michelle Erickson","CHEM-2367"
"Michelle Erickson","CHEM-1584"
"Mark Greer","BIOL-9270"
"Mark Greer","CSCI-2400"
"Mark Greer","COGS-6716"
"Bethany Cole","ECON-9767"
"Rodney Cole","MATH-3894"
"Rodney Cole","CHEM-7787"
"Rodney Cole","ARCH-7834"
"Steven May","CHEM-8938"
"Kerry Clark","BIOL-4867"
"Kerry Clark","CHEM-7580"
"Kerry Clark","LANG-9205"
"Nicole Brown","ECSE-9097"
"Mr. Cameron Delacruz","MATH-8752"
"Mr. Cameron Delacruz","CHEM-4267"
"Mr. Cameron Delacruz","ENGR-8578"
"Austin Kramer","BIOL-4692"
"Keith Thomas","ENGR-4269"
"Keith Thomas","STSO-8068"
"Julia Aguilar","ARCH-5996"
"Julia Aguilar","CHEM-7787"
"Julia Aguilar","BIOL-9270"
"Kathryn Simmons","ENGR-4942"
"Kathryn Simmons","STSO-3850"
"Christine Moore","ECON-4118"
"Christine Moore","LANG-5421"
"Christine Moore","ECSE-7314"
"Heather Taylor","BIOL-9423"
"John Tran","CHEM-5387"
"Rachael Barber","ARCH-8568"
"Rachael Barber","ECSE-1460"
"Rachael Barber","COGS-6212"
"Sara Velazquez","MATH-1079"
"Sara Velazquez","COGS-6716"
"Edward Oconnor","COGS-7706"
"Edward Oconnor","ENGR-9476"
"Edward Oconnor","COGS-8009"
"Scott Powers","PSYC-1505"
"Thomas Weeks","STSO-4319"
"Jacqueline Becker","CHEM-2959"
"Jacqueline Becker","CSCI-1777"
"Jacqueline Becker","PSYC-6453"
"Terrance Mitchell","LANG-8192"
"Katrina Pope","LANG-9275"
"Katrina Pope","BIOL-4289"
"Katrina Pope","BIOL-4289"
"Patricia Ray","ECSE-6530"
"Patricia Ray","COGS-8857"
"Dawn Yang","CSCI-3014"
"Dawn Yang","STSO-5001"
"Keith Mccoy","LANG-1278"
"Amy Warner","PSYC-1505"
"Jason Griffin","LANG-1682"
"Arthur Ross","CHEM-6508"
"Arthur Ross","PSYC-1340"
"Arthur Ross","ARCH-9302"
"Michael Hendrix","BIOL-9328"
"Mary Hudson","CSCI-1934"
"Tyler Smith","CSCI-2137"
"Tyler Smith","PSYC-9315"
"Selena Bradley","ENGR-6537"
"Selena Bradley","MATH-5879"
"Steven Roberts","ENGR-8578"
"Steven Roberts","ECON-9767"
"Steven Roberts","CHEM-2821"
"Kaylee Roy","ITEC-8653"
"Olivia Daniel","PSYC-4304"
"Olivia Daniel","COGS-5132"
"Olivia Daniel","ECON-8869"
"Jacqueline Johnson","ITEC-2402"
"Jacqueline Johnson","ENGR-8711"
"Dr. Patrick Davidson MD","ITEC-6379"
"Cindy Reyes","ECON-9818"
"Cindy Reyes","COGS-1776"
"Cindy Reyes","ECON-7841"
"Adam Thompson","ECSE-3554"
"Adam Thompson","ITEC-2402"
"Brenda Ferguson","MATH-4023"
"Carol Cobb","ARCH-2437"
"Mary Garcia","COGS-2244"
"Mary Garcia","ECON-5530"
"Mary Garcia","MGMT-8758"
"Anthony Castillo","COGS-1543"
"Anthony Castillo","MGMT-5501"
"Anthony Castillo","CHEM-8673"
"Mr. Alan Turner","ECSE-2659"
"Mr. Alan Turner","BIOL-2248"
"Mr. Alan Turner","STSO-1842"
"Alexa Henry","CHEM-5387"
"Alexa Henry","MATH-5864"
"Regina Sanchez","COGS-8029"
"Regina Sanchez","COGS-3427"
"Regina Sanchez","ECON-7841"
"Gregory Daniel","ECSE-5695"
"Anna Maldonado","CSCI-9318"
"Anna Maldonado","STSO-8203"
"Manuel Miller","CSCI-3633"
"Manuel Miller","ARCH-4612"
"Manuel Miller","MATH-6667"
"Christopher Fuller","BIOL-8280"
"Anthony Powers","ARCH-7841"
"Anthony Powers","MATH-3933"
"Brian Brown","ARCH-5996"
"Brian Baker","ENGR-3478"
"Brian Baker","CSCI-6288"
"Brian Baker","CSCI-6288"
"Amanda Hester","CHEM-6508"
"Amanda Hester","COGS-8518"
"Cynthia Oliver","COGS-8029"
"Robert Clark","MATH-4282"
"Douglas Mcbride","MATH-7789"
"Douglas Mcbride","ENGR-8711"
"Douglas Mcbride","ENGR-4550"
"Yvonne Mendez","STSO-5789"
"Yvonne Mendez","MATH-2934"
"Yvonne Mendez","MATH-4023"
"James Bauer","CSCI-1777"
"James Bauer","PSYC-7502"
"Jean Scott","PSYC-9168"
"David Murray","MGMT-9350"
"David Murray","CSCI-1704"
"David Murray","ENGR-6942"
"Carly Roman","MATH-5331"
"Carly Roman","COGS-6716"
"Mitchell Carr","PSYC-8075"
"Mitchell Carr","ECON-2818"
"Mitchell Carr","MGMT-3727"
"Daryl Mcdowell","ECSE-1864"
"Daryl Mcdowell","ITEC-9478"
"Julie Schneider","COGS-9667"
"Julie Schneider","CHEM-7787"
"Julie Schneider","BIOL-4289"
"Mariah Price","ECSE-7363"
"Mariah Price","ITEC-2724"
"Mariah Price","STSO-2963"
"Michelle Schultz","ECON-5530"
"Kristi Coleman","MATH-4201"
"Kristi Coleman","LANG-8456"
"Angela Wallace","ECON-2010"
"Angela Hall","BIOL-4411"
"Angela Hall","ENGR-8669"
"Troy Randall","BIOL-9270"
"Troy Randall","COGS-2457"
"Troy Randall","STSO-8036"
"Casey Winters","CSCI-1704"
"Casey Winters","PSYC-4304"
"Toni Little","MGMT-6085"
"Toni Little","STSO-7806"
"Toni Little","STSO-8396"
"Andrew Hernandez","ENGR-9178"
"Caitlyn Fields","ITEC-4931"
"Caitlyn Fields","ITEC-8784"
"Bonnie Daniels","ITEC-8451"
"Melissa Summers","STSO-3850"
"Melissa Summers","CHEM-8182"
"Melissa Summers","STSO-4319"
"Charles Wang","MATH-4023"
"Charles Wang","ITEC-2215"
"Stephanie Rios","ECON-5530"
"Stephanie Rios","ENGR-6942"
"Johnathan Maynard","MATH-9474"
"Johnathan Maynard","ECON-6876"
"Kimberly Ferguson","ARCH-7453"
"Kimberly Ferguson","CHEM-9367"
"Kimberly Ferguson","LANG-5421"
"Anne Berry","BIOL-4411"
"Anne Berry","PSYC-8737"
"Anne Berry","MATH-7964"
"Ryan Smith","MATH-4277"
"Ryan Smith","STSO-3508"
"Ryan Smith","ARCH-4981"
"Chloe Woodward","ECSE-4324"
"Chloe Woodward","ECSE-9186"
"Chloe Woodward","ECON-5530"
"Cory Ray","CHEM-4549"
"Cory Ray","BIOL-5043"
"Theresa Sims","CSCI-5884"
"Charles Berg","MGMT-8778"
"Charles Berg","ARCH-7369"
"Julia Stanton","CHEM-8339"
"Julia Stanton","ITEC-6107"
"Julia Stanton","STSO-5522"
"Vincent Lowery","CHEM-1584"
"Vincent Lowery","MATH-7789"
"Vincent Lowery","COGS-5146"
"Janet Thompson","ITEC-9116"
"Janet Thompson","ARCH-8568"
"Janet Thompson","MATH-2624"
"Matthew Bowman Jr.","LANG-8456"
"Matthew Bowman Jr.","CSCI-1521"
"Matthew Bowman Jr.","ARCH-8147"
"Angela Rhodes","ENGR-3478"
"Dr. Justin Johnson","ARCH-9962"
"Dr. Justin Johnson","LANG-1682"
"Gina West","STSO-1842"
"Gina West","LANG-2615"
"Mark Barker","MATH-3933"
"Mark Barker","BIOL-4011"
"Kristy Mullins","MATH-8079"
"Kristy Mullins","CHEM-4366"
"Kristy Mullins","MATH-4023"
"Allison Potter","ENGR-8234"
"Allison Potter","PSYC-2277"
"Allison Potter","ENGR-4550"
"Mitchell Hughes","MATH-4157"
"Samantha Little","MGMT-2128"
"Samantha Little","ITEC-6550"
"Joan Chavez","STSO-2610"
"Patrick Castro","PSYC-6966"
"Patrick Castro","STSO-6137"
"Patrick Castro","LANG-3886"
"Craig Sanchez","STSO-1842"
"Craig Sanchez","ECON-5530"
"Brian Scott","ENGR-6942"
"Melanie Johnson","MATH-4023"
"Michael Patton","ITEC-6848"
"Daniel Hopkins","CSCI-7722"
"Ryan Jackson","ITEC-5912"
"Ryan Jackson","CHEM-8182"
"Ryan Jackson","COGS-3625"
"Bernard Woods","MGMT-5766"
"Bernard Woods","ENGR-8234"
"Bernard Woods","PSYC-8944"
"Teresa Garner","COGS-7706"
"Teresa Garner","BIOL-9423"
"Janet Collins","ARCH-8432"
"Janet Collins","COGS-3427"
"Daniel Bentley","PSYC-9955"
"Daniel Bentley","ARCH-4612"
"Victor Williamson","ECON-5530"
"Paul White","COGS-6893"
"Paul White","BIOL-6758"
"Allison Boyd","ENGR-3462"
"Allison Boyd","MATH-1079"
"Mary Shaw","COGS-7911"
"Mary Shaw","STSO-5144"
"Mary Shaw","COGS-8518"
"Carol Boyd","CSCI-1629"
"Carol Boyd","STSO-8203"
"Carol Boyd","ECSE-5695"
"Wesley Klein","CSCI-1777"
"Robert Burke","ENGR-9178"
"Robert Burke","PSYC-1405"
"Katrina Benson","CHEM-8938"
"Katrina Benson","LANG-7417"
"Katrina Benson","LANG-1283"
"Wayne Braun","STSO-6966"
"Wayne Braun","LANG-4629"
"Wayne Braun","BIOL-8280"
"Christopher Foster","BIOL-3506"
"Christopher Foster","STSO-3144"
"Jennifer Burns","STSO-2266"
"Jennifer Burns","MGMT-8778"
"Virginia Andrade","CHEM-2821"
"Vicki Mack","STSO-8068"
"Vicki Mack","ITEC-9261"
"Kyle Tran","LANG-3886"
"Norma Young","BIOL-9107"
"Norma Young","PSYC-2116"
"Norma Young","BIOL-7711"
"Brooke Gardner","PSYC-4598"
"Brooke Gardner","LANG-4384"
"Brooke Gardner","BIOL-2804"
"Barbara Smith","MGMT-3637"
"Barbara Smith","ARCH-7369"
"Barbara Smith","ECSE-1571"
"Andrew Ruiz","COGS-5146"
"Cameron Casey","MATH-5331"
"Samuel Oconnor","PSYC-5029"
"Jessica Floyd","BIOL-1217"
"Jessica Floyd","ARCH-8221"
"Walter Duncan","ENGR-8635"
"Walter Duncan","MATH-4157"
"Walter Duncan","ECON-2010"
"Gerald Bass","COGS-2047"
"Gerald Bass","CSCI-1994"
"Julie Nelson","ECON-8138"
"Julie Nelson","MGMT-3727"
"Julie Nelson","BIOL-1503"
"George Smith","ITEC-5685"
"Victoria Goodman","MATH-9779"
"Victoria Goodman","MGMT-2898"
"Alexis Edwards","ARCH-7686"
"Alexis Edwards","CHEM-8845"
"Alexis Edwards","ECSE-9097"
"Steven Page","BIOL-4867"
"Steven Page","ECSE-8065"
"Kevin Melton","COGS-6212"
"Kevin Melton","STSO-3508"
"Kevin Melton","CHEM-4904"
"Deborah Moran DDS","ECON-1471"
"Tonya Carlson","MATH-9474"
"Blake Lindsey","ARCH-8843"
"Blake Lindsey","COGS-7514"
"Blake Lindsey","ENGR-4339"
"James Levy","ARCH-7834"
"James Levy","CSCI-7722"
"Jonathan Doyle","COGS-6716"
"Jonathan Doyle","ARCH-5943"
"Michelle Morris","BIOL-9858"
"Michelle Morris","MGMT-6085"
"Tyler Becker","ECSE-4324"
"Dylan Jackson","MATH-9474"
"April Moore","ECON-3253"
"April Moore","CSCI-1629"
"April Moore","CSCI-6766"
"Zachary Salazar","ECON-9443"
"Jose Gibson","STSO-7761"
"Jose Gibson","BIOL-8223"
"Jose Gibson","CSCI-6872"
"Michael Booker","BIOL-9328"
"Michael Booker","MATH-7964"
"Michael Booker","PSYC-1505"
"Mario Summers","LANG-3989"
"Mario Summers","MGMT-4520"
"Darren Martin","ITEC-5042"
"Darren Martin","STSO-8384"
"Spencer Garcia","LANG-8192"
"Spencer Garcia","ECSE-2659"
"Spencer Garcia","ENGR-7382"
"David Campbell","MGMT-5643"
"David Campbell","ITEC-6199"
"Vincent Gardner","ENGR-6942"
"Vincent Gardner","COGS-6575"
"Vincent Gardner","COGS-3427"
"Mary Thompson","MGMT-3535"
"Mary Thompson","ENGR-8234"
"Beverly Monroe","MATH-4282"
"Beverly Monroe","ITEC-8608"
"Tara Carroll","ECSE-4571"
"Tara Carroll","LANG-2464"
"Rebecca Chung","LANG-9426"
"Rebecca Chung","ITEC-4772"
"Rebecca Chung","ARCH-8157"
"Randall Burton","LANG-1682"
"Jeffery Buckley","ECON-5413"
"Jeffery Buckley","ARCH-7369"
"Jeffery Buckley","MGMT-4520"
"Susan Brock","CHEM-8182"
"Jaclyn Williamson","CHEM-5387"
"Timothy Taylor","CSCI-7746"
"Timothy Taylor","ARCH-7369"
"Penny Johnson","COGS-8009"
"Dr. Joshua Taylor","MGMT-8758"
"Jeffery Davis","BIOL-4289"
"Kimberly Newman","LANG-4384"
"Phillip Foster","LANG-8563"
"Phillip Foster","CHEM-8673"
"Debra Jacobs","CHEM-2266"
"Debra Jacobs","PSYC-4598"
"Debra Jacobs","ECSE-9548"
"Dawn Bailey","BIOL-1217"
"Dawn Bailey","COGS-6212"
"Dawn Bailey","PSYC-1340"
"Heidi Evans","CHEM-9352"
"Heidi Evans","STSO-2610"
"Jennifer Vaughn","LANG-3109"
"Jennifer Vaughn","CSCI-5490"
"Samantha Young","ECSE-5117"
"Samantha Young","STSO-5464"
"Samantha Young","ARCH-8157"
"Mark Adams","CHEM-4366"
"Mark Adams","STSO-1933"
"Michael Anderson","CHEM-8116"
"Michael Anderson","PSYC-7502"
"Michael Anderson","BIOL-9328"
"Robert Andrews","MATH-4045"
"Robert Andrews","ENGR-9682"
"Robert Andrews","ARCH-7369"
"Mark Mclaughlin","ARCH-3804"
"Mark Mclaughlin","COGS-2555"
"Jacqueline Stafford","CHEM-8182"
"Jacqueline Stafford","STSO-8036"
"Jacqueline Stafford","CHEM-2821"
"Joshua Dean","MATH-9474"
"Joshua Dean","ECSE-8311"
"Angela Bray","COGS-5132"
"Angela Bray","CHEM-6508"
"Angela Bray","MATH-4045"
"Samantha Sims","PSYC-8075"
"Samantha Sims","CSCI-7746"
"Samantha Sims","BIOL-6426"
"Janice Harris","PSYC-6051"
"Janice Harris","CHEM-2566"
"Janice Harris","LANG-3981"
"Paul Smith","ECSE-6925"
"Paul Smith","BIOL-1380"
"Paul Smith","COGS-3625"
"Justin Thomas","BIOL-7088"
"Justin Thomas","BIOL-5328"
"Justin Thomas","MATH-9779"
"Christopher Williamson","BIOL-5098"
"Christopher Williamson","STSO-3144"
"Christopher Williamson","BIOL-8647"
"Michael Reyes","COGS-7514"
"Justin Stark","COGS-5146"
"Justin Stark","ITEC-3314"
"Justin Stark","ENGR-9278"
"Jon Underwood","ENGR-4550"
"Dustin Evans","MGMT-7977"
"Dustin Evans","BIOL-1217"
"Megan Allen","ITEC-9116"
"Gregory Gallegos","ITEC-4931"
"Gregory Gallegos","ECON-2203"
"Gregory Gallegos","ENGR-3899"
"Mr. Justin Gonzalez","PSYC-1340"
"Mr. Justin Gonzalez","MGMT-9901"
"Christopher Harris","BIOL-1217"
"Christopher Harris","CSCI-9644"
"Christopher Harris","CHEM-4263"
"Micheal Collins","COGS-8573"
"Sandra Robertson","STSO-7793"
"Sandra Robertson","ARCH-6473"
"Michael Becker","BIOL-4289"
"Christopher Hopkins","ARCH-2464"
"Christopher Hopkins","STSO-3203"
"Christopher Hopkins","STSO-2610"
"Patrick Stevens","ITEC-2215"
"Carrie Adkins MD","ECON-2010"
"Austin Berry","ENGR-9278"
"Austin Berry","ARCH-4981"
"Christopher Kirk","BIOL-6076"
"Christopher Kirk","MGMT-5766"
"Kimberly Collins","ECSE-2659"
"Kimberly Collins","LANG-7473"
"Leslie Perkins","BIOL-9270"
"Leslie Perkins","ECSE-8065"
"William Cervantes","ECSE-3674"
"William Cervantes","CSCI-1994"
"William Cervantes","MGMT-5766"
"Brian Webster","MATH-4277"
"Holly Terrell","BIOL-6758"
"Erica Wilson","STSO-4319"
"Erica Wilson","ARCH-4612"
"Erica Wilson","CHEM-2821"
"Grant Gilmore","STSO-8384"
"Grant Gilmore","CSCI-5085"
"Casey Adams","ARCH-6185"
"Austin Long","ITEC-3358"
"Austin Long","CHEM-6508"
"Austin Long","CSCI-5630"
"Diane Jennings","CHEM-5099"
"Diane Jennings","PSYC-1360"
"Christopher Vargas","MGMT-4733"
"Richard Sanchez Jr.","MGMT-6741"
"Jesse Carter","ENGR-8578"
"Darrell Mitchell","MATH-2934"
"Darrell Mitchell","ITEC-6550"
"Lindsay Russell","ECON-3139"
"Lindsay Russell","MGMT-8224"
"Lindsay Russell","MGMT-8224"
"Renee Romero","BIOL-8647"
"Renee Romero","ECSE-5968"
"Renee Romero","PSYC-2251"
"Kurt Garcia","ENGR-4550"
"Kurt Garcia","PSYC-1360"
"Kurt Garcia","ITEC-6107"
"Thomas Gates","MATH-6422"
"Thomas Gates","PSYC-1505"
"Thomas Gates","MATH-6667"
"Barbara Bennett","LANG-7473"
"Barbara Bennett","CSCI-1521"
"Nathan Jones","ECSE-9186"
"Nathan Jones","ARCH-8568"
"Nathan Jones","ECON-2010"
"Debra Stevenson","CHEM-7955"
"Debra Stevenson","ITEC-8608"
"Anthony Barron","BIOL-4692"
"Leslie Shaffer","ECSE-6530"
"Leslie Shaffer","BIOL-9858"
"Leslie Shaffer","MGMT-8811"
"Kaylee Johnson","ARCH-6185"
"Kaylee Johnson","LANG-3109"
"Kaylee Johnson","MATH-6422"
"Deborah Norris","PSYC-1612"
"Catherine Thomas","CSCI-6872"
"Catherine Thomas","LANG-2358"
"Catherine Thomas","LANG-1283"
"Austin Shannon","ARCH-5291"
